"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\ErrorFallback\ErrorFallback.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 2, 18
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\LandingPage.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 8
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\BestSellers.jsx", "JavaScript JSX", 68, 0, 0, 0, 0, 9, 77
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section1.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 5
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section2.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, -1, 1
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\WeAreTheBest.jsx", "JavaScript JSX", 99, 0, 0, 0, 0, 3, 102
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\PaymentStatus\SuccessfulPayment.jsx", "JavaScript JSX", -7, 0, 0, 0, 0, -1, -8
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\ProductPage.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 2
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ProductDetails.jsx", "JavaScript JSX", -27, 0, 0, 0, 0, -1, -28
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ReviewsComponent.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 2, 24
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section4.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 1, 23
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\CheckOrder.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 3, 40
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\Profile.jsx", "JavaScript JSX", 4, 0, 0, 0, 0, 2, 6
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\ChangePersonalDetails.jsx", "JavaScript JSX", 53, 0, 0, 0, 0, 6, 59
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\CheckOrders.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 1, 13
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\Comments.jsx", "JavaScript JSX", -3, 0, 0, 0, 0, -1, -4
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\Shop.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 4, 25
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\FilterByDorpdown.jsx", "JavaScript JSX", 63, 0, 0, 0, 1, 7, 71
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\FilterByMaterials.jsx", "JavaScript JSX", 60, 0, 0, 0, 1, 7, 68
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\ShopSection1.jsx", "JavaScript JSX", 93, 0, 0, 0, 1, 7, 101
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Shop\ShopSections\SortByDropdown.jsx", "JavaScript JSX", 63, 0, 0, 0, 2, 8, 73
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyUser.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 1, 15
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\orders.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\products.js", "JavaScript", 0, 0, 17, 0, 0, 0, 17
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\admin.js", "JavaScript", 0, 0, 157, 0, 5, 12, 174
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\fetch_apis.js", "JavaScript", 0, 0, 49, 0, 3, 4, 56
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\handleComments.js", "JavaScript", 0, 0, 87, 0, 0, 3, 90
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\stripe_api.cjs", "JavaScript", 0, 0, 37, 0, 0, 4, 41
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\test.cjs", "JavaScript", 0, 0, 10, 0, 0, 2, 12
"Total", "-", 1602, 13, 358, 23, 58, 167, 2221
