"filename", "language", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SpecificationsHandler.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 2, 6, 83
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TagHandler.jsx", "JavaScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 5, 62
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TopProducts.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UpdateProduct.jsx", "JavaScript JSX", 0, 0, 0, 226, 0, 0, 0, 4, 10, 240
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UploadData.jsx", "JavaScript JSX", 0, 0, 0, 111, 0, 0, 0, 2, 15, 128
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\HandleProducts.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\SideBar.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 4, 69
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\CheckoutPage\CheckoutPage.jsx", "JavaScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 15, 239
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\ErrorFallback\ErrorFallback.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section1.jsx", "JavaScript JSX", 0, 0, 0, 100, 0, 0, 0, 0, 7, 107
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section2.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 8, 87
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\data_for_section1.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 147, 0, 0, 0, 0, 9, 156
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\PaymentStatus\SuccessfulPayment.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 6, 72
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\ProductPage.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ProductDetails.jsx", "JavaScript JSX", 0, 0, 0, 200, 0, 0, 0, 0, 12, 212
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ReviewsComponent.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 15, 136
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section2.jsx", "JavaScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section3.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section4.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 6, 87
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\CheckOrder.jsx", "JavaScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 9, 106
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 5, 95
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\ChangePersonalDetails.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 3, 59
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\CheckOrders.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 11, 117
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\Comments.jsx", "JavaScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 8, 86
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\SelectStatus.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\SelectStatus\data.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 6, 109
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\sections\VerifyEmailPanel.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 7, 86
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Register\Register.jsx", "JavaScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 7, 152
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\useAdminAccess.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 1, 9, 46
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyJWT.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 4, 7, 45
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\utils\verifyUser.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\tailwind.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 1, 17
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\vite.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\app.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 11, 15, 68
