"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\users.js", "JavaScript", 1, 0, -1, 0
"Total", "-", 1, 0, -1, 0
