"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\ChartMonthlyRevenues.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 0, 8, 84
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\DeleteProduct.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 7, 90
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\DropzoneHandler.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 132, 2, 164
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\LatestComments.jsx", "JavaScript JSX", 0, 0, 117, 0, 0, 0, 0, 0, 0, 13, 130
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\MaterialHandler.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SearchHandler.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 7, 89
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SetPromo.jsx", "JavaScript JSX", 0, 0, 159, 0, 0, 0, 0, 0, 2, 12, 173
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\SpecificationsHandler.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TagHandler.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\TopProducts.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 0, 9, 102
